file_id.serial_number,file_id.time_created,file_id.manufacturer,file_id.garmin_product,file_id.number,file_id.type,device_info.timestamp[s],device_info.serial_number,device_info.manufacturer,device_info.garmin_product,device_info.software_version,software.version,monitoring_info.timestamp[s],monitoring_info.local_timestamp[s],monitoring_info.cycles_to_distance[m/cycle],monitoring_info.cycles_to_calories[kcal/cycle],monitoring_info.unknown,monitoring_info.resting_metabolic_rate[kcal / day],monitoring_info.activity_type,monitoring.timestamp[s],monitoring.distance[m],monitoring.steps[steps],monitoring.active_time[s],monitoring.active_calories[kcal],monitoring.duration_min[min],monitoring.activity_type,monitoring.unknown,unknown.unknown,ohr_settings.unknown,ohr_settings.enabled,stress_level.stress_level_time[s],stress_level.stress_level_value,stress_level.unknown,monitoring.timestamp_16[s],monitoring.heart_rate[bpm],event.timestamp[s],event.unknown,event.data16,event.event,event.event_type,event.data,monitoring.current_activity_type_intensity,monitoring.intensity,
"3952531279","901645532","1","2622","2","32",
"3952531279","901645532","1","2622","2","32","901645532","3952531279","1","2622","4.6",
"3952531279","901645532","1","2622","2","32","901645532","3952531279","1","2622","4.6","4.3",
"3952531279","901645532","1","2622","2","32","901645532","3952531279","1","2622","4.6","4.3","901645500","901623840","1.6198|2.4296","0.0448|0.1416","1","1948","6|1",
"3952531279","901645532","1","2622","2","32","901645532","3952531279","1","2622","4.6","4.3","901645500","901623840","1.6198|2.4296","0.0448|0.1416","1","1948","6|1","901645500","111.77","138","195.0","12","664","6",
"3952531279","901645532","1","2622","2","32","901645532","3952531279","1","2622","4.6","4.3","901645500","901623840","1.6198|2.4296","0.0448|0.1416","1","1948","6|1","901645500","36.44","30","60.0","3","664","1",
"3952531279","901645532","1","2622","2","32","901645532","3952531279","1","2622","4.6","4.3","901645500","901623840","1.6198|2.4296","0.0448|0.1416","1","1948","6|1","901645500","36.44","30","60.0","3","664","1","2490",
"3952531279","901645532","1","2622","2","32","901645532","3952531279","1","2622","4.6","4.3","901645500","901623840","1.6198|2.4296","0.0448|0.1416","1","1948","6|1","901645500","36.44","30","60.0","3","664","1","0",
"3952531279","901645532","1","2622","2","32","901645532","3952531279","1","2622","4.6","4.3","901645500","901623840","1.6198|2.4296","0.0448|0.1416","1","1948","6|1","901645500","36.44","30","60.0","3","664","1","0","62",
"3952531279","901645532","1","2622","2","32","901645532","3952531279","1","2622","4.6","4.3","901645500","901623840","1.6198|2.4296","0.0448|0.1416","1","1948","6|1","901645500","36.44","30","60.0","3","664","1","0","62","901645500","1",
"3952531279","901645532","1","2622","2","32","901645532","3952531279","1","2622","4.6","4.3","901645500","901623840","1.6198|2.4296","0.0448|0.1416","1","1948","6|1","901645500","36.44","30","60.0","3","664","1","0","10|3|0|248","901645500","1",
"3952531279","901645532","1","2622","2","32","901645532","3952531279","1","2622","4.6","4.3","901645500","901623840","1.6198|2.4296","0.0448|0.1416","1","1948","6|1","901645500","36.44","30","60.0","3","664","1","0","230|4|190|53|22|0|8|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0","901645500","1",
